,ori,county,name,region,lat,lon,"lat,lon"
59,TX0570100,DALLAS,Addison Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
60,TX0571200,ELLIS; TARRANT; DALLAS,Grand Prairie Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
61,TX0571400,DALLAS,Hutchins Police Department,South,32.766987,-96.778424,"32.766987,-96.778424"
62,TX0572500,DALLAS,Wilmer Police Department,South,32.5892,-96.68492,"32.5892,-96.68492"
63,TXDPD0000,DENTON; COLLIN; DALLAS,Dallas Police Department,South,32.76778,-96.7956,"32.76778,-96.7956"
64,TX0571000,DALLAS,Farmers Branch Police Department,South,32.924255,-96.85554,"32.924255,-96.85554"
65,TX0572100,COLLIN; DALLAS,Sachse Police Department,South,32.973286,-96.58616,"32.973286,-96.58616"
66,TX1550800,LIMESTONE; MCLENNAN,Mart Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
67,TX1550600,MCLENNAN,Lorena Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
68,TX1551700,MCLENNAN,Riesel Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
69,TX1550000,MCLENNAN,McLennan County Sheriff's Office,South,31.55447,-97.1364,"31.55447,-97.1364"
70,TX1551100,MCLENNAN,Robinson Police Department,South,31.468706,-97.11562,"31.468706,-97.11562"
71,TX1552600,FALLS; MCLENNAN,Bruceville-Eddy Police Department,South,31.306688,-97.24659,"31.306688,-97.24659"
72,TX1550400,MCLENNAN,Hewitt Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
73,TX1550200,MCLENNAN,Beverly Hills Police Department,South,31.525549,-97.1494,"31.525549,-97.1494"
74,TX1551300,MCLENNAN,West Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
75,TX1550700,MCLENNAN,McGregor Police Department,South,31.4415,-97.40726,"31.4415,-97.40726"
76,TX1551800,MCLENNAN,Texas State Technical College: Waco,South,31.549493,-97.201472,"31.549493,-97.201472"
77,TX1550500,MCLENNAN,Lacy-Lakeview Police Department,South,31.62393,-97.10311,"31.62393,-97.10311"
78,TX1551600,MCLENNAN,McLennan Community College,South,31.591955,-97.17414,"31.591955,-97.17414"
79,TX0180200,MCLENNAN; BOSQUE,Valley Mills Police Department,South,31.900764,-97.637632,"31.900764,-97.637632"
80,TX1551400,MCLENNAN,Woodway Police Department,South,31.506077,-97.22793,"31.506077,-97.22793"
81,TX1550100,MCLENNAN,Bellmead Police Department,South,31.589613,-97.10078,"31.589613,-97.10078"
82,TX1551200,MCLENNAN,Waco Police Department,South,31.549493,-97.201472,"31.549493,-97.201472"
