,Unnamed: 0,ori,county,name,region,lat,lon,"lat,lon",data_year,offense,state_abbr,cleared,actual
1121,24,TX0210200,BRAZOS,College Station Police Department,South,30.656725,-96.302389,"30.656725,-96.302389",2019,property-crime,TX,190,2098
1122,24,TX0210200,BRAZOS,College Station Police Department,South,30.656725,-96.302389,"30.656725,-96.302389",2019,motor-vehicle-theft,TX,17,178
1123,24,TX0210200,BRAZOS,College Station Police Department,South,30.656725,-96.302389,"30.656725,-96.302389",2019,larceny,TX,149,1529
1124,24,TX0210200,BRAZOS,College Station Police Department,South,30.656725,-96.302389,"30.656725,-96.302389",2019,human-trafficing,TX,0,0
1125,24,TX0210200,BRAZOS,College Station Police Department,South,30.656725,-96.302389,"30.656725,-96.302389",2019,homicide,TX,1,1
1126,24,TX0210200,BRAZOS,College Station Police Department,South,30.656725,-96.302389,"30.656725,-96.302389",2019,burglary,TX,24,391
1127,24,TX0210200,BRAZOS,College Station Police Department,South,30.656725,-96.302389,"30.656725,-96.302389",2019,arson,TX,0,0
1128,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,violent-crime,TX,11,29
1129,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,arson,TX,0,2
1130,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,aggravated-assault,TX,7,15
1131,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,burglary,TX,7,93
1132,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,homicide,TX,0,0
1133,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,human-trafficing,TX,0,0
1134,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,larceny,TX,11,200
1135,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,motor-vehicle-theft,TX,3,13
1136,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,property-crime,TX,21,306
1137,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,rape,TX,3,13
1138,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,rape-legacy,TX,0,0
1139,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2019,robbery,TX,1,1
1140,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2018,robbery,TX,0,0
1141,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2018,rape,TX,1,9
1142,25,TX0210000,BRAZOS,Brazos County Sheriff's Office,South,30.687794,-96.3732,"30.687794,-96.3732",2018,property-crime,TX,8,305
